date,weekday,selection,rank,market,relative_best_hall,predicted_mean,adjusted_edge,utility_edge,travel_minutes,travel_penalty,confidence,reason,risk_flags,shibuya_pick,shibuya_rank,toyoko_pick,toyoko_rank,mizonokuchi_pick,mizonokuchi_rank,fukutoshin_pick,fukutoshin_rank,ikegami_pick,ikegami_rank,kamata_pick,kamata_rank,keikyu_pick,keikyu_rank,ooimachi_pick,ooimachi_rank,yokohama_pick,yokohama_rank,tsurumi_pick,tsurumi_rank,kawasaki_pick,kawasaki_rank,center_minami_pick,center_minami_rank,kashimada_pick,kashimada_rank
2026-08-30,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5815,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000 蒲田1,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-31,月,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,239.1,189.1,161.1,38,28.0,0.4366,31日・隠れ看板,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-01,火,BIGディッパー戸越銀座店,A,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.6076,1日・20日（絶対水準）,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,BIGディッパー戸越銀座店,A,マルハンメガシティ2000 蒲田1,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-02,水,アサヒ2鹿島田店,A,鹿島田,アサヒ2鹿島田店,136.6,136.6,112.6,34,24.0,0.3918,毎月2日・現行運用パッケージ,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,アサヒ2鹿島田店,A
2026-09-03,木,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.8485,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-04,金,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.6474,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-05,土,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,213.2,163.2,151.2,22,12.0,0.5497,5日,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-06,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5648,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-07,月,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.6394,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-08,火,ベルシティザシティ川崎店,B,川崎,ベルシティザシティ川崎店,77.0,77.0,49.0,38,28.0,0.348,平日の8のつく日・直近上昇レジーム,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ベルシティザシティ川崎店,B,見送り,NO BET,見送り,NO BET
