hall_id,result_date,machine_key,machine_name,units,avg_diff,avg_games,winning_units,total_units,selected_flag,source_name
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_7a64b9aaddef,スマスロ 銀河英雄伝説 Die Neue These,1,-1427.184,4488.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_b8f8f5123195,L真・一騎当千,1,-1469.1,1180.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_8c585518687b,スロット ゾンビランドサガ,1,-1525.326,2101.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_7271c1c787a8,Lパチスロ革命機ヴァルヴレイヴ,1,-1601.052,2642.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_22a915970d34,L麻雀物語,1,-2101.908,3274.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_439d7db30b27,L虚構推理,1,-2278.368,3516.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_037bd8301ef4,Lパチスロ戦姫絶唱シンフォギア 正義の歌,1,-2455.674,3314.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_dbfb64466acc,Lバンドリ！,1,-3349.05,4150.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_405bd1d670dc,スマスロ新鬼武者3,6,5611.0,8134.0,4,6,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_bf3b322af827,L少女☆歌劇 レヴュースタァライト -The SLOT-,4,3512.0,7201.0,4,4,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_c357f9098fb5,スマスロ モンスターハンターライズ,4,2930.0,7391.0,3,4,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_525f9a64b6b1,スマスロ スーパーブラックジャック,4,2736.0,4084.0,4,4,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_3302850d31e9,スマスロ鉄拳6,4,2555.0,6922.0,3,4,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_3fbc8dc4c452,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,6,2501.0,8489.0,4,6,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_348b1c47d12b,スマスロ 攻殻機動隊,4,2243.0,6295.0,3,4,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_4c189a0cb278,ファンキージャグラー２ＫＴ,3,944.0,8027.0,1,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_a47d8992311f,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,10,906.0,4311.0,4,10,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_85d00996a1a4,ネオアイムジャグラーEX,3,661.0,6696.0,2,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_7258fa39ffa8,スマスロ ハナビ,2,651.0,6147.0,1,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_8b923f6423ea,スマスロ 東京リベンジャーズ,5,525.0,7799.0,3,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_0ee758a2996c,ウルトラミラクルジャグラー,5,464.0,6862.0,4,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_2f348fd96f01,プリズムナナ,2,411.0,5414.0,1,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_9b5a72e07cee,スマスロ バイオハザードRE:3,6,358.0,5659.0,4,6,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_3d9b135e8395,スマスロ ビッグドリーム THE GOLDEN PUSHER,3,277.0,8406.0,1,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_50310d7b7979,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,2,247.0,5584.0,1,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_e564631a7f3c,A-SLOT+ ディスクアップ ULTRAREMIX,3,116.0,6261.0,2,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_07bc149e50ab,スマスロ化物語,5,44.0,6561.0,2,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_33f9d50dd892,いざ！番長,6,-30.438,5073.0,2,6,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_fa7ec51ad325,スマスロ秘宝伝,3,-32.445,3605.0,2,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_d291f4e464f6,スマスロ ゴッドイーター リザレクション,5,-71.355,4757.0,3,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_9f723e33636b,マイジャグラーV,31,-295.851,5801.0,11,31,0,min-repo_machine_detail
